"","animal_id","local_area","num_dets","first_det","last_det","mean_lat","mean_lon"
"140","V2LNSSA-17C-2019-05-10","Sheet Harbour passage",88,2019-05-12 05:40:49,2019-05-12 08:35:06,44.8665695404,-62.4962837203505
"141","V2LNSSA-17C-2019-05-10","West River upper",2,2019-05-10 09:36:00,2019-05-10 09:36:00,44.9585454198472,-62.6177866412211
"142","V2LNSSA-17D-2019-05-10","Sheet Harbour passage",34,2019-05-12 05:00:35,2019-05-12 06:26:02,44.8665695404,-62.4962837203505
"143","V2LNSSA-17D-2019-05-10","West River upper",2,2019-05-10 09:36:00,2019-05-10 09:36:00,44.9585454198472,-62.6177866412211
"144","V2LNSSA-18A-2019-05-10","Sheet Harbour",2518,2019-05-13 00:23:51,2019-05-16 12:44:38,44.9202516530958,-62.5386218284875
"145","V2LNSSA-18A-2019-05-10","Sheet Harbour passage",84,2019-05-12 04:40:36,2019-05-12 08:09:43,44.8665695404,-62.4962837203505
"146","V2LNSSA-18A-2019-05-10","West River upper",2,2019-05-10 09:36:00,2019-05-10 09:36:00,44.9585454198472,-62.6177866412211
"147","V2LNSSA-18B-2019-05-10","Sheet Harbour",9240,2019-05-13 00:23:02,2019-06-10 15:24:21,44.9202516530958,-62.5386218284875
"148","V2LNSSA-18B-2019-05-10","Sheet Harbour estuary",804,2019-06-02 01:10:29,2019-06-10 23:15:15,44.8958021924533,-62.4850195539726
"149","V2LNSSA-18B-2019-05-10","Sheet Harbour passage",31,2019-05-12 09:06:04,2019-06-07 12:36:40,44.8665695404,-62.4962837203505
"150","V2LNSSA-18B-2019-05-10","West River upper",2,2019-05-10 09:36:00,2019-05-10 09:36:00,44.9585454198472,-62.6177866412211
"151","V2LNSSA-18C-2019-05-10","West River upper",2,2019-05-10 09:36:00,2019-05-10 09:36:00,44.9585454198472,-62.6177866412211
"152","V2LNSSA-18D-2019-05-10","Sheet Harbour",14102,2019-05-19 00:32:36,2019-06-04 21:49:59,44.9202516530958,-62.5386218284875
"153","V2LNSSA-18D-2019-05-10","Sheet Harbour estuary",2213,2019-06-02 02:56:44,2019-06-15 05:39:54,44.8958021924533,-62.4850195539726
"154","V2LNSSA-18D-2019-05-10","Sheet Harbour passage",25,2019-05-18 22:19:01,2019-06-16 23:55:23,44.8665695404,-62.4962837203505
"155","V2LNSSA-18D-2019-05-10","West River upper",2,2019-05-10 09:36:00,2019-05-10 09:36:00,44.9585454198472,-62.6177866412211
"156","V2LNSSA-19A-2019-05-10","Sheet Harbour",4926,2019-05-14 02:46:11,2019-05-19 00:53:53,44.9202516530958,-62.5386218284875
"157","V2LNSSA-19A-2019-05-10","Sheet Harbour passage",134,2019-05-13 15:25:30,2019-05-14 02:00:59,44.8665695404,-62.4962837203505
"158","V2LNSSA-19A-2019-05-10","West River upper",2,2019-05-10 09:36:00,2019-05-10 09:36:00,44.9585454198472,-62.6177866412211
"159","V2LNSSA-19B-2019-05-10","Sheet Harbour",298,2019-05-13 00:21:06,2019-05-13 09:53:36,44.9202516530958,-62.5386218284875
"160","V2LNSSA-19B-2019-05-10","Sheet Harbour passage",311,2019-05-12 08:49:59,2019-05-12 22:57:58,44.8665695404,-62.4962837203505
"161","V2LNSSA-19B-2019-05-10","West River upper",2,2019-05-10 09:36:00,2019-05-10 09:36:00,44.9585454198472,-62.6177866412211
"162","V2LNSSA-19C-2019-05-10","Sheet Harbour",112,2019-05-16 06:08:24,2019-05-16 09:16:56,44.9202516530958,-62.5386218284875
"163","V2LNSSA-19C-2019-05-10","Sheet Harbour passage",71,2019-05-16 02:46:24,2019-05-16 05:54:38,44.8665695404,-62.4962837203505
"164","V2LNSSA-19C-2019-05-10","West River upper",2,2019-05-10 09:36:00,2019-05-10 09:36:00,44.9585454198472,-62.6177866412211
"165","V2LNSSA-19D-2019-05-10","Sheet Harbour",2457,2019-05-15 00:25:17,2019-06-14 09:55:05,44.9202516530958,-62.5386218284875
"166","V2LNSSA-19D-2019-05-10","Sheet Harbour estuary",2135,2019-05-19 10:41:57,2019-06-15 21:54:43,44.8958021924533,-62.4850195539726
"167","V2LNSSA-19D-2019-05-10","Sheet Harbour passage",125,2019-05-14 15:36:35,2019-06-16 22:10:27,44.8665695404,-62.4962837203505
"168","V2LNSSA-19D-2019-05-10","West River upper",2,2019-05-10 09:36:00,2019-05-10 09:36:00,44.9585454198472,-62.6177866412211
"169","V2LNSSA-21A-2019-05-10","Sheet Harbour",3351,2019-05-13 00:53:08,2019-06-15 02:55:08,44.9202516530958,-62.5386218284875
"170","V2LNSSA-21A-2019-05-10","Sheet Harbour estuary",722,2019-06-05 06:48:28,2019-06-15 20:30:39,44.8958021924533,-62.4850195539726
"171","V2LNSSA-21A-2019-05-10","Sheet Harbour passage",27,2019-05-12 09:24:53,2019-06-16 15:09:59,44.8665695404,-62.4962837203505
"172","V2LNSSA-21A-2019-05-10","West River upper",2,2019-05-10 09:36:00,2019-05-10 09:36:00,44.9585454198472,-62.6177866412211
"173","V2LNSSA-21B-2019-05-10","Sheet Harbour",20191,2019-05-15 18:45:49,2019-06-25 08:37:26,44.9202516530958,-62.5386218284875
